iter	MultiClass
144	0.2723845721
145	0.271271898
146	0.2697912528
147	0.2690601469
148	0.2689815071
149	0.2682712575
150	0.2680954365
151	0.2673614172
152	0.2670553593
153	0.266005029
154	0.2644571841
155	0.2627764275
156	0.2618731855
157	0.2616901776
158	0.2609149026
159	0.2597881766
160	0.2589930856
161	0.2587345663
162	0.2586681544
163	0.2578769568
164	0.2574447352
165	0.257408996
166	0.256924257
167	0.2563663023
168	0.2560217964
169	0.2550750977
170	0.2550335861
171	0.254547872
172	0.2540359796
173	0.2539973288
174	0.2530147433
175	0.2521495828
176	0.2521144696
177	0.2508018282
178	0.2493330073
179	0.2477882322
180	0.2464711918
181	0.2458131003
182	0.245579777
183	0.2446638173
184	0.2440648902
185	0.242670456
186	0.2424831003
187	0.2424121291
188	0.2421530084
189	0.2417724665
190	0.2406639437
191	0.2403582631
192	0.2398689662
193	0.2390758598
194	0.2390324035
195	0.2388028423
196	0.2384387646
197	0.2375153984
198	0.2363698896
199	0.2357205053
200	0.2349999189
201	0.2348405419
202	0.2341691997
203	0.2337984463
204	0.2332231745
205	0.2329369567
206	0.232754907
207	0.2326428593
208	0.2312003864
209	0.2301883023
210	0.2298092809
211	0.2297404939
212	0.2281631162
213	0.2277268005
214	0.2275267134
215	0.2270160127
216	0.2265107467
217	0.2256946917
218	0.2254196623
219	0.2247723691
220	0.2241966329
221	0.2236978951
222	0.22337455
223	0.2226951932
224	0.2220673021
225	0.2219009388
226	0.2206794485
227	0.2204727608
228	0.2200297472
229	0.2194570129
230	0.2194237281
231	0.2191954392
232	0.2191073571
233	0.2180764559
234	0.2174669472
235	0.2170852348
236	0.2167679265
237	0.2155579009
238	0.2150963187
239	0.2144527256
240	0.214331894
241	0.2140251865
242	0.2137038218
243	0.2132599068
244	0.2131889151
245	0.2123691174
246	0.2119115747
247	0.2113654528
248	0.2102213676
249	0.2093135289
250	0.2091845033
251	0.2086611846
252	0.2084605928
253	0.2078424134
254	0.2075186391
255	0.2067036203
256	0.2065842329
257	0.2063332864
258	0.2062336279
259	0.2055977469
260	0.2053859394
261	0.2048651758
262	0.2045346229
263	0.2043741264
264	0.203962284
265	0.2037205647
266	0.203144359
267	0.2031114772
268	0.2030087763
269	0.2025854044
270	0.2022712614
271	0.2020138136
272	0.2018537678
273	0.201420782
274	0.2012830716
275	0.2010178701
276	0.2004918136
277	0.2003750725
278	0.2001836839
279	0.1993396555
280	0.1989751403
281	0.198848358
282	0.1987996053
283	0.1986232289
284	0.1982017134
285	0.1976092365
286	0.1969835863
287	0.1969599299
288	0.1965994935
289	0.1962786858
290	0.1958970373
291	0.1957054297
292	0.1954913587
293	0.1951991117
294	0.1949916909
295	0.1949123224
296	0.1941972747
297	0.1941795656
298	0.1939929002
299	0.193263181
300	0.1924057417
301	0.1917506455
302	0.1915913837
303	0.1911681987
304	0.1907722825
305	0.189755246
306	0.1893597734
307	0.1889311634
308	0.1885183313
309	0.1878738019
310	0.1876017685
311	0.1874722201
312	0.1871291921
313	0.1869261837
314	0.1864087209
315	0.1862363102
316	0.1860289742
317	0.1857041571
318	0.1854615125
319	0.1853055223
320	0.1851595951
321	0.1848520415
322	0.1845750344
323	0.1841452347
324	0.1840648807
325	0.183502567
326	0.1832484682
327	0.1831003239
328	0.1828520382
329	0.1823772514
330	0.1821962686
331	0.1816724975
332	0.1811380181
333	0.1810985399
334	0.1810128648
335	0.1803682937
