iter	Passed	Remaining
321	146229	307900
322	146681	307440
323	147127	306970
324	147608	306571
325	148043	306077
326	148480	305588
327	148885	305034
328	149354	304610
329	149821	304183
330	150264	303707
331	150700	303216
332	151161	302776
333	151643	302379
334	152090	301911
335	152492	301354
336	152949	300906
337	153423	300491
338	153900	300083
339	154376	299672
340	154831	299219
341	155315	298823
342	155784	298398
343	156258	297981
344	156685	297474
345	157150	297041
346	157597	296573
347	158036	296091
348	158472	295602
349	158947	295188
350	159404	294739
351	159887	294338
352	160369	293935
353	160844	293519
354	161292	293052
355	161736	292578
356	162150	292052
357	162618	291623
358	163085	291191
359	163523	290708
360	163977	290254
361	164411	289763
362	164884	289343
363	165335	288883
364	165819	288480
365	166287	288050
366	166747	287604
367	167183	287119
368	167647	286681
369	168082	286193
370	168530	285729
371	168976	285261
372	169456	284850
373	169932	284433
374	170389	283982
375	171017	283817
376	171524	283447
377	171964	282968
378	172456	282573
379	173020	282296
380	173554	281968
381	174065	281603
382	174585	281251
383	175098	280887
384	175632	280555
385	176307	280447
386	176988	280346
387	177629	280178
388	178435	280267
389	179199	280285
390	179802	280051
391	180410	279820
392	180942	279471
393	181465	279106
394	182042	278824
395	182618	278540
396	183220	278291
397	183738	277916
398	184208	277467
399	184691	277036
400	185128	276538
401	185612	276109
402	186046	275607
403	186518	275161
404	186998	274726
405	187473	274284
406	187956	273853
407	188434	273414
408	188916	272982
409	189344	272471
410	189805	272007
411	190227	271489
412	190684	271021
413	191136	270545
414	191612	270104
415	192025	269573
416	192503	269135
417	192986	268703
418	193463	268263
419	193859	267710
420	194301	267222
421	194775	266777
422	195235	266313
423	195698	265855
424	196205	265455
425	196643	264960
426	197105	264500
427	197557	264025
428	198049	263604
429	198498	263125
430	198966	262673
431	199414	262192
432	199862	261713
433	200295	261215
434	200767	260766
435	201222	260296
436	201661	259807
437	202097	259312
438	202560	258853
439	203057	258437
440	203541	258003
441	203961	257489
442	204438	257047
443	204919	256610
444	205334	256091
445	205807	255643
446	206297	255218
447	206716	254703
448	207206	254278
449	207610	253746
450	208084	253300
451	208479	252758
452	208925	252278
453	209362	251787
454	209811	251312
455	210273	250852
456	210704	250355
457	211162	249890
458	211766	249598
459	212203	249108
460	212685	248671
461	213169	248236
462	213666	247816
463	214135	247363
464	214609	246916
465	215087	246473
466	215566	246031
467	215972	245507
468	216445	245058
469	216884	244571
470	217356	244122
471	217844	243690
472	218322	243247
473	218791	242794
474	219215	242290
475	219712	241868
476	220170	241403
477	220622	240931
478	221071	240455
479	221515	239975
480	221959	239494
481	222350	238957
482	222831	238517
483	223262	238024
484	223725	237564
485	224206	237123
486	224681	236676
487	225158	236231
488	225636	235788
489	226070	235297
490	226514	234818
491	226968	234349
492	227445	233904
493	227911	233448
494	228394	233008
495	228880	232571
496	229400	232169
497	229900	231747
498	230340	231263
499	230769	230769
500	231259	230336
501	231751	229905
502	232215	229445
503	232702	229008
504	233170	228552
505	233626	228086
506	234047	227584
507	234486	227101
508	234914	226607
509	235365	226135
510	235822	225669
511	236305	225229
512	236793	224792
513	237293	224366
514	237785	223933
515	238287	223509
516	238823	223117
517	239251	222623
518	239692	222142
519	240133	221661
520	240599	221203
521	241006	220692
522	241497	220257
523	241973	219808
524	242439	219349
525	242911	218897
526	243437	218492
527	243943	218070
528	244467	217664
529	245006	217270
530	245499	216834
531	245965	216375
532	246447	215930
533	246973	215523
534	247454	215076
535	247901	214601
536	248400	214170
537	248875	213718
538	249338	213256
539	249842	212829
540	250297	212359
541	250802	211932
542	251299	211499
543	251829	211092
544	252290	210628
545	252811	210213
546	253328	209795
547	253846	209376
548	254296	208902
549	254742	208425
550	255265	208011
551	255792	207599
552	256308	207179
553	256836	206767
554	257344	206339
555	257854	205912
556	258380	205498
557	258919	205093
558	259345	204599
559	259815	204140
560	260345	203728
561	260788	203248
562	261367	202873
563	261881	202447
564	262413	202035
565	262911	201596
566	263363	201122
567	263851	200675
568	264308	200205
569	264815	199772
570	265292	199317
571	265812	198894
572	266322	198463
573	266822	198024
574	267273	197549
575	267763	197103
576	268271	196670
577	268758	196221
578	269265	195786
579	269757	195341
580	270203	194862
581	270683	194408
582	271154	193947
583	271568	193445
584	272042	192987
585	272475	192499
586	272945	192038
587	273429	191586
588	273928	191145
589	274364	190660
590	274827	190193
591	275328	189753
592	275704	189226
593	276190	188776
594	276592	188268
595	277068	187811
596	277510	187331
597	277987	186874
598	278434	186397
599	278914	185942
600	279349	185458
601	279828	185002
602	280290	184536
603	280749	184067
604	281274	183641
605	281764	183193
606	282281	182762
607	282745	182296
608	283266	181867
609	283762	181422
610	284247	180969
611	284734	180517
612	285242	180079
613	285746	179638
614	286207	179170
615	286673	178705
616	287162	178254
617	287603	177774
618	288079	177315
619	288559	176858
620	289048	176408
621	289486	175926
622	289966	175469
623	290458	175019
624	290946	174568
625	291413	174103
626	291873	173634
627	292261	173123
628	292755	172674
629	293224	172210
630	293720	171763
631	294196	171304
632	294645	170829
633	295135	170377
634	295596	169909
635	296091	169460
636	296615	169028
637	297140	168597
638	297630	168145
639	298131	167698
640	298574	167220
641	299014	166740
642	299485	166277
643	299981	165828
644	300470	165375
645	300966	164925
646	301439	164464
647	301939	164016
648	302363	163527
649	302836	163065
650	303298	162597
651	303800	162151
652	304315	161711
653	304839	161275
654	305361	160839
655	305852	160385
656	306347	159934
657	306835	159479
658	307289	159007
659	307737	158531
660	308191	158059
661	308678	157603
662	309120	157124
663	309569	156649
664	310017	156174
665	310507	155719
666	311000	155267
667	311483	154809
668	311980	154358
669	312473	153904
670	312961	153449
671	313429	152983
672	313870	152504
673	314348	152043
674	314772	151557
675	315183	151064
676	315665	150605
677	316119	150133
678	316590	149669
679	317039	149194
680	317468	148711
681	317966	148260
682	318416	147786
683	318886	147322
684	319342	146850
685	319793	146377
686	320260	145912
687	320736	145450
688	321159	144964
689	321582	144479
690	322010	143996
691	322435	143511
692	322935	143060
693	323394	142591
694	323796	142097
695	324260	141631
696	324689	141149
697	325161	140685
698	325604	140210
699	326048	139735
700	326470	139250
701	326919	138777
702	327378	138309
703	327856	137848
704	328312	137378
705	328780	136914
706	329197	136428
707	329681	135970
708	330162	135510
709	330662	135059
710	331142	134599
711	331557	134113
712	331999	133637
713	332465	133172
714	332935	132708
715	333396	132240
716	333869	131778
717	334325	131308
718	334803	130848
719	335254	130376
720	335760	129926
721	336216	129457
722	336617	128966
723	337096	128506
724	337518	128024
725	337985	127559
726	338477	127103
727	338897	126620
728	339331	126143
729	339817	125686
730	340285	125221
731	340719	124744
732	341188	124280
733	341655	123815
734	342062	123328
735	342548	122870
736	343005	122402
737	343421	121919
738	343857	121443
739	344317	120976
740	344805	120518
741	345278	120056
742	345745	119591
743	346197	119121
744	346631	118645
745	347046	118163
746	347474	117685
747	347977	117233
748	348449	116770
749	348919	116306
750	349381	115840
751	349882	115386
752	350352	114923
753	350775	114444
754	351244	113979
755	351725	113519
756	352132	113035
757	352594	112569
758	353068	112107
759	353513	111635
760	353980	111171
761	354459	110710
762	354892	110235
763	355375	109775
764	355850	109313
765	356304	108844
766	356698	108358
767	357154	107890
768	357639	107431
769	358105	106966
770	358573	106502
771	358999	106025
772	359461	105559
773	359942	105099
774	360395	104631
775	360873	104169
776	361352	103708
777	361759	103227
778	362208	102757
779	362592	102269
780	363170	101836
781	363919	101450
782	364383	100985
783	365032	100570
784	365521	100111
785	366103	99676
786	366647	99232
787	367169	98781
788	367757	98348
789	368300	97902
790	368877	97465
791	369435	97023
792	370003	96583
793	370504	96125
794	370971	95659
795	371418	95187
796	371888	94721
797	372375	94260
798	372832	93791
799	373297	93324
800	373750	92854
801	374181	92379
802	374659	91915
803	375107	91444
804	375568	90976
805	375994	90499
806	376441	90028
807	376882	89556
808	377277	89072
809	377710	88598
810	378150	88126
811	378607	87657
812	379078	87192
813	379525	86722
814	379929	86241
815	380377	85771
816	380780	85291
817	381204	84815
818	381655	84346
819	382075	83870
820	382543	83404
821	383015	82940
822	383467	82471
823	383932	82005
824	384361	81531
825	384827	81065
826	385290	80598
827	385711	80123
828	386168	79656
829	386608	79184
830	387061	78716
831	387529	78251
832	387996	77785
833	388426	77312
834	388901	76848
835	389374	76384
836	389828	75916
837	390268	75445
838	390735	74980
839	391158	74506
840	391595	74035
841	391992	73556
842	392432	73086
843	392867	72615
844	393265	72137
845	393706	71667
846	394134	71195
847	394591	70728
848	395153	70280
849	395626	69816
850	396101	69352
851	396573	68888
852	397013	68418
853	397437	67946
854	397834	67468
855	398294	67002
856	398747	66535
857	399182	66065
858	399608	65593
859	400064	65126
860	400512	64658
861	400990	64195
862	401380	63718
863	401854	63254
864	402333	62791
865	402815	62329
866	403212	61853
867	403680	61389
868	404134	60922
869	404566	60452
870	404978	59979
871	405451	59515
872	405839	59039
873	406302	58574
874	406741	58105
875	407220	57643
876	407690	57178
877	408212	56721
878	408715	56262
879	409257	55807
880	409694	55339
881	410195	54878
882	410693	54417
883	411194	53957
884	411641	53490
885	412119	53026
886	412557	52558
887	413024	52093
888	413454	51623
889	413876	51153
890	414357	50690
891	414802	50222
892	415276	49758
893	415782	49298
894	416251	48833
895	416709	48368
896	417172	47902
897	417619	47435
898	418097	46972
899	418511	46501
900	418976	46036
901	419416	45568
902	419884	45103
903	420296	44633
904	420757	44167
905	421218	43702
906	421658	43235
907	422125	42770
908	422586	42305
909	423021	41837
910	423459	41369
911	423914	40903
912	424370	40438
913	424803	39970
914	425246	39503
915	425726	39040
916	426214	38577
917	426661	38111
918	427134	37647
919	427569	37179
920	428026	36714
921	428454	36246
922	428882	35778
923	429292	35309
924	429717	34841
925	430195	34378
926	430672	33914
927	431148	33451
928	431605	32985
929	432002	32516
930	432498	32054
931	432958	31589
932	433411	31123
933	433919	30662
934	434369	30196
935	434874	29735
936	435341	29270
937	435754	28802
938	436208	28337
939	436735	27876
940	437153	27409
941	437572	26941
942	438037	26477
943	438483	26011
944	438937	25546
945	439359	25079
946	439808	24614
947	440274	24150
948	440706	23683
949	441112	23216
950	441589	22752
951	442024	22286
952	442467	21821
953	442967	21359
954	443467	20896
955	443886	20429
956	444323	19964
957	444793	19500
958	445277	19036
959	445751	18572
960	446226	18109
961	446622	17642
962	447101	17178
963	447492	16711
964	447977	16247
965	448427	15783
966	448856	15317
967	449318	14853
968	449764	14388
969	450257	13925
970	450638	13458
971	451101	12994
972	451545	12530
973	451922	12063
974	452350	11598
975	452819	11134
976	453280	10670
977	453755	10207
978	454166	9742
979	454626	9278
980	455078	8813
981	455540	8350
982	455992	7885
983	456422	7421
984	456885	6957
985	457372	6494
986	457858	6030
987	458305	5566
988	458755	5102
989	459188	4638
990	459642	4174
991	460097	3710
992	460513	3246
993	460981	2782
994	461440	2318
995	461884	1854
996	462352	1391
997	462825	927
998	463262	463
999	463674	0
